,Tournament,from,to,Organizer(s),Tournament director,Chief Arbiter,Deputy Chief Arbiter,Arbiter,Location,FED,Last update ,teams,n,Rd,Rd-Akt,DB-Key,System,Month
478,Відкритий дитячий шаховий турнір «Весняний кубок ЛША»,20210308,20210308,ЛША,Фірман Назар,Костів Микола,,,Львів,UKR,08.03.2021  17:07 ,0,128,9,9,550462,Schweizer System                                            ,3
479,Чемпіонат м.Стрия-2021 з класичних шахів,20210306,20210308,"Відділ фізичної культури та спорту Стрийської міської ради, ШШФС ""Ферзь""",Музичук Олег,Соловйов Олександр,Музичук Наталя,Білецька Галина,Стрий,UKR,08.03.2021  17:05 ,0,34,9,9,551629,Schweizer System                                            ,3
480,Відкритий шаховий турнір з нормою КМСв рамках чемпіонату області з шахів серед юнаків та дівчат U20,20210304,20210308,"ЛОДА, ЛОШФ",Фірман Назар Богданович,Матвійчук Богдан Андрійович,Матвійчук Андрій Васильович,,м. Львів,UKR,08.03.2021  16:41 ,0,55,9,9,550993,Schweizer System                                            ,3
481,Chess spring-2021 (Rapid),20210308,20210308,Боднар Микола,Боднар Микола,Вусатюк Володимир,Дорофєєв Станіслав,Боднар Богдан,Вінниця,UKR,08.03.2021  14:45 ,0,41,9,9,551822,Schweizer System                                            ,3
482,"""ШАХОВА ШКОЛА""  ""ПЕРЕМОГА ДЛЯ МАМИ""Blitz A - U 15  ДРІМ ТАУН  (08.03.2021)",20210308,20210308,Шахова школа,"14104482, Semenov, Dmitri (UKR)","14128748 Tovchyga, Oleg (UKR) IA  ",,,Kyiv,UKR,08.03.2021  14:16 ,0,22,11,11,551173,Schweizer System                                            ,3
483,"""ШАХОВА ШКОЛА""  ""ПЕРЕМОГА ДЛЯ МАМИ""Blitz B - U 11  ДРІМ ТАУН  (08.03.2021)",20210308,20210308,Шахова школа,"14104482, Semenov, Dmitri (UKR)","14128748 Tovchyga, Oleg (UKR) IA  ",,,Kyiv,UKR,08.03.2021  14:15 ,0,28,11,11,551182,Schweizer System                                            ,3
484,Зимова Золотоноша - 2021,20210305,20210307,,,Малий І.В.,,,м. Золотоноша,UKR,07.03.2021  19:51 ,0,19,7,7,551871,Schweizer System                                            ,3
485,"""ШАХОВА ШКОЛА""  ""ПЕРЕМОГА ДЛЯ МАМИ""Rapid B - U 11  ДРІМ ТАУН  (6 - 7.03.2021)",20210306,20210307,Шахова школа,"14104482, Semenov, Dmitri (UKR)","14128748 Tovchyga, Oleg (UKR) IA  ",,,Kyiv,UKR,07.03.2021  16:57 ,0,59,11,11,551171,Schweizer System                                            ,3
486,Чемпіонат ФШВ серед 2-х розрядів,20210306,20210307,,,,,,Вінниця,UKR,07.03.2021  16:51 ,0,30,8,8,551613,Schweizer System                                            ,3
487,Чемпіонат ФШВ серед безрозрядників,20210307,20210307,,,,,,Вінниця,UKR,07.03.2021  16:50 ,0,20,7,7,551837,Schweizer System                                            ,3
488,Чемпіонат ФШВ серед 1-юнацьких розрядів,20210306,20210307,,,,,,Вінниця,UKR,07.03.2021  16:49 ,0,31,8,8,551674,Schweizer System                                            ,3
489,"""ШАХОВА ШКОЛА""  ""ПЕРЕМОГА ДЛЯ МАМИ""Rapid A - U 15  ДРІМ ТАУН  (6 - 7.03.2021)",20210306,20210307,Шахова школа,"14104482, Semenov, Dmitri (UKR)","14128748 Tovchyga, Oleg (UKR) IA  ",,,Kyiv,UKR,07.03.2021  16:47 ,0,32,11,11,551165,Schweizer System                                            ,3
490,Чемпіонат ФШВ серед 3-х розрядів,20210306,20210307,,,,,,Вінниця,UKR,07.03.2021  16:42 ,0,23,8,8,551678,Schweizer System                                            ,3
491,March rapid (Chess club Lypky - Children),20210307,20210307,Chess Club Lypky,"Buryshin, Vasyl (UKR) 14110954","IA, IO Keik, Mykola 14135744",,,Kyiv,UKR,07.03.2021  14:00 ,0,16,7,7,551848,Schweizer System                                            ,3
492,Кубок Мукачева - 2021,20210227,20210227,,Федів О.Є.,Федів О.Є.,,,Мукачево,UKR,07.03.2021  13:45 ,0,12,9,9,550812,Schweizer System                                            ,2
493,Чемпіонат Дн-вської області серед юнаків 2008-2009 р.н. (до 14 років)   ,20210226,20210306,ДОФШ,,Тимошенко І.В.,Максимов Д.І.,,Дніпро,UKR,06.03.2021  18:57 ,0,20,9,9,549507,Schweizer System                                            ,3
494,"Чемпіонат Дн-вської області серед дівчат 2008р.н. та молодше (12,14 років)  ",20210226,20210306,ДОФШ,,Тимошенко І.В.,Максимов Д.І.,,Дніпро,UKR,06.03.2021  18:57 ,0,14,9,9,549506,Schweizer System                                            ,3
495,March rapid (Chess club Lypky),20210306,20210306,Chess Club Lypky,"Buryshin, Vasyl (UKR) 14110954","IA, IO Keik, Mykola 14135744",,,Kyiv,UKR,06.03.2021  16:26 ,0,15,7,7,551645,Schweizer System                                            ,3
496,FSHYU Blitz stage 3 2021,20210306,20210306,,,"14109255 Shpilevoy, Eugen  NA",,,,UKR,06.03.2021  16:23 ,0,18,11,11,551684,Schweizer System                                            ,3
497,Рапід турнір (06.03.2021 м.Буча),20210306,20210306,"Центр творчого навчання ""Kiwi"", 0631255032 (Viber)",,,,Козловець П. П.,Буча,UKR,06.03.2021  15:50 ,0,10,7,7,551670,Schweizer System                                            ,3
498,Чемпіонат ФШВ серед безрозрядників,20210306,20210306,,,,,,Вінниця,UKR,06.03.2021  12:35 ,0,20,7,7,551614,Schweizer System                                            ,3
499,Особисто-командний чемпіонат Дн-вської обл. серед юнаків 2010-2011 р.н.,20210226,20210306,Дніпропетровська обласна шахова федерація,,Варицький І.Є. IA,Макаревич В.І.  FA,,Дніпро,UKR,06.03.2021  11:18 ,0,25,9,9,550623,Schweizer System                                            ,3
500,Чемпіонат Тернопільської області серед юнаків та дівчат до 16 років,20210219,20210221,"Упрпавління фізичної культури та спорту Терн.ОДА, Тернопільська обласна  шахова ",Іскра О.В.,Трембач В.А.,Подольський І.З.,Гулька І.М.,Тернопіль,UKR,01.03.2021  15:52 ,0,21,9,9,549844,Schweizer System                                            ,2
501,"КВАЛІФІКАЦІЙНИЙ ТУРНІР з нормою 2 розряду, (26-28.02.2021),Київ.",20210226,20210228,ГО Шаховий центр,Олег Коваль  ,Олег Коваль /14140870/ ,,Григорій Онопрієнко /14160030/ суддя І категорії,Київ,UKR,28.02.2021  18:08 ,0,18,9,9,550138,Schweizer System                                            ,2
502,"КВАЛІФІКАЦІЙНИЙ ТУРНІР з нормою 1 розряду, (26-28.02.2021),Київ.",20210226,20210228,ГО Шаховий центр,Олег Коваль ,Олег Коваль /14140870/ ,,Григорій Онопрієнко /14160030/ суддя І категорії,Київ,UKR,28.02.2021  18:07 ,0,18,9,9,550139,Schweizer System                                            ,2
503,Відкритий чемпіонат Львівської області серед юнаків та дівчат до 14 років,20210226,20210228,"ЛОШФ, ЛОДА",14104490 Фірман Назар,14151804 Ільницький Іван,14131684 Мацейко Максим,,Львів,UKR,28.02.2021  17:21 ,0,82,9,9,549521,Schweizer System                                            ,2
504,Чемпіонат ФШВ серед 2-х розрядів,20210227,20210227,,,,,,Вінниця,UKR,28.02.2021  16:45 ,0,30,8,8,550750,Schweizer System                                            ,2
505,Чемпіонат ФШВ серед 1-юнацьких розрядів,20210227,20210227,,,,,,Вінниця,UKR,28.02.2021  16:44 ,0,23,8,8,550802,Schweizer System                                            ,2
506,Чемпіонат ФШВ серед 3-х розрядів,20210227,20210227,,,,,,Вінниця,UKR,28.02.2021  16:44 ,0,24,8,8,550809,Schweizer System                                            ,2
507,Championship of Odessa region under 14,20210224,20210228,OSSK,,"Yasko Anatolii, UKR 34132929",,,Odessa,UKR,28.02.2021  15:25 ,0,14,9,9,550461,Schweizer System                                            ,2
508,Кваліфікаційний турнір з нормою 4 розряду (30-31 січня м.Буча),20210227,20210228,"Центр творчого навчання ""Kiwi"", 0631255032 (Viber)",,,,Козловець П. П.,Буча,UKR,28.02.2021  14:53 ,0,17,9,9,550800,Schweizer System                                            ,2
509,"""ШАХОВА ШКОЛА"" ""Відкритий Кубок Києва-2021"" зі швидких шахів (2003 р.н. та молодші. Вища ліга)",20210228,20210228,Chess School,"14104482 Semenov, Dmitri (UKR) IM","14128748  Tovchyga, Oleg /UKR/ IA",,"14105128, Prihodko, Alexander (UKR) FA,IO  ","Kyiv, Str. Dmytrivska 71, ""Chess School""",UKR,28.02.2021  14:34 ,0,33,7,7,550448,Schweizer System                                            ,2
510,"""ШАХОВА ШКОЛА"" ""Відкритий Кубок Києва-2021"" зі швидких шахів (2003 р.н. та молодші. Перша ліга)",20210228,20210228,Шахова Школа,Семенов Д.,МА Товчига О.Г.,,Приходько О.,"Київ, вул. Дмитрівська 71, ""Шахова Школа""",UKR,28.02.2021  14:25 ,0,18,7,7,550459,Schweizer System                                            ,2
511,"ШК ""Гамбіт"" кваліфікаційний турнір з нормою 1-го розряду",20210220,20210228,"ШК ""Гамбіт"" (п-т Оболонський, 16-Д)",,Костак Т.І.,,,,UKR,28.02.2021  14:15 ,0,16,9,9,550189,Schweizer System                                            ,2
512,Чемпіонат міста Жмеринка-2021,20210227,20210228,ЖШФ,Ходюк А.,Личкін В.,Макогонюк в.,,Жмеринка,UKR,28.02.2021  13:37 ,0,26,8,8,550781,Schweizer System                                            ,2
513,"""АМАТОР-2021"" Турнір зі швидких шахів 28.02.2021""Шахова Школа"" DREAM TOWN-2",20210228,20210228,Шахова Школа,Семенов Д.Г.,Ритенко В.Ю.,,"Ритенко В., Приходько О., Хріновський О.",Київ,UKR,28.02.2021  13:31 ,0,15,7,7,550549,Schweizer System                                            ,2
514,ЛОШФ КТ з нормою 3-го розряду - 28.02.2021,20210228,20210228,"ЛОШФ, ЛША",14131684 Мацейко Максим,34125035 Красногор Юрій,,,Львів,UKR,28.02.2021  13:19 ,0,29,9,9,550600,Schweizer System                                            ,2
515,In Memory Of Z.Rakhmangulov(rapid),20210227,20210228,"14115336 Goroshchenko Dmitry(UKR), 14175630 Larkin, Sergii(UKR) IA",14115336 Goroshchenko Dmitry(UKR),"14115336 Goroshchenko, Dmitry(UKR)",,,Mykolaiv,UKR,28.02.2021  13:17 ,0,38,9,9,549354,Schweizer System                                            ,2
516,Чемпіонат ФШВ серед безрозрядників 28/02,20210228,20210228,,,,,,Вінниця,UKR,28.02.2021  13:07 ,0,28,7,7,550949,Schweizer System                                            ,2
517,"КВАЛІФІКАЦІЙНИЙ ТУРНІР з нормою 3 розряду, (27-28.02.2021),Київ.",20210227,20210228,ГО Шаховий центр,Олег Коваль ,Олег Коваль /14140870/ ,,Григорій Онопрієнко /14160030/ суддя І категорії,Київ,UKR,28.02.2021  12:50 ,0,22,9,9,550137,Schweizer System                                            ,2
518,"КВАЛІФІКАЦІЙНИЙ ТУРНІР з нормою 1 юнацького розряду (27-28.02.2021),Київ.",20210227,20210228,ГО Шаховий центр,Олег Коваль ,Олег Коваль /14140870/ ,,Григорій Онопрієнко /14160030/ суддя І категорії,Київ,UKR,28.02.2021  12:24 ,0,35,9,9,550136,Schweizer System                                            ,2
519,Могилів-Подільський - 2021 (Вінницька область),20210226,20210228,Горобець Андрій,Горобець Андрій,Боднар Микола,Боднар Богдан,,Могилів-Подільський,UKR,28.02.2021  12:24 ,0,25,9,9,550610,Schweizer System                                            ,2
520,"ШК ""Гамбіт"" кваліфікаційний турнір з нормою 2-го розряду",20210220,20210228,"ШК ""Гамбіт"" (п-т Оболонський, 16-Д)",,Костак Т.І.,,,,UKR,28.02.2021  11:15 ,0,10,9,9,550184,Schweizer System                                            ,2
521,"""Chess School - 2021"" blitz - 2",20210227,20210227,Kyiv City Chess Federation,"14104482, Semenov, Dmitri (UKR)","14104482, Semenov, Dmitri (UKR)","14128748, Tovchyga, Oleg (UKR) IA  ",,Kyiv,UKR,28.02.2021  06:33 ,0,27,11,11,550444,Schweizer System                                            ,2
522,Могилів-Подільський-бліц (Вінницька обл.),20210227,20210227,Горобець Андрій,Боднар Микола,Боднар Микола,Боднар Богдан,,Могилів-Подільський,UKR,27.02.2021  19:37 ,0,14,9,9,550845,Schweizer System                                            ,2
523,Зимовий кубок НШК 2021,20210227,20210227,НШК,Матвійчук А.В.,Матвійчук Б.А.,,,"м. Новояворівськ, Львівська обл.",UKR,27.02.2021  19:17 ,0,56,9,9,550429,Schweizer System                                            ,2
524,ЛОШФ КТ з нормою 4-го розряду,20210227,20210227,ЛОШФ,Назар Фірман,Микола Костів,,,Львів,UKR,27.02.2021  17:40 ,0,29,9,9,550657,Schweizer System                                            ,2
525,52-й Чемпіонат міста з шахів м.Горішні Плавні ,20210130,20210227,"Відділ культури, спорту і туризму м. Горішні Плавні",,Онікієнко В.М,,Бондар В.М.,Горішні Плавні,UKR,27.02.2021  15:01 ,0,24,9,9,550822,Schweizer System                                            ,2
526,Чемпіонат Рогатинської ТГ серед чоловіків з шахів,20210219,20210221,,Олексин Л. В.,Трушак Є. С.,Олексин Л. В.,,м. Рогатин Івано-Франківської області,UKR,27.02.2021  14:56 ,0,14,9,9,550821,Schweizer System                                            ,2
527,Чемпіонат ФШВ серед безрозрядників,20210227,20210227,,,,,,Вінниця,UKR,27.02.2021  12:19 ,0,22,7,7,550753,Schweizer System                                            ,2
528,Кваліфікаційний турнір серед учнів ХДЮСШ,20210219,20210221,,,Крижановська Ж.М.,,,Херсон,UKR,25.02.2021  12:15 ,0,26,8,8,549877,Schweizer System                                            ,2
529,"""Відкритий Кубок Києва - 2020"" (2002 р.н. та мол.)1 ліга",20210228,20210228,Шахова Школа,Семенов Д.,МА Товчига О.Г.,,Приходько О.,"Київ, вул. Дмитрівська 71, ""Шахова Школа""",UKR,24.02.2021  11:28 ,0,4,7,7,543240,Schweizer System                                            ,2
530,Чемпіонат Вінниччини серед чоловіків та жінок-2021 ,20210217,20210221,МДЮСШ №6,Боднар Микола,Боднар Микола,Вусатюк Володимир,"Дорофєєв Станіслав, Боднар Богдан",Вінниця,UKR,23.02.2021  13:49 ,0,38,9,9,548909,Schweizer System                                            ,2
531,"Фінал чемпіонату Черкаської області серед юнаків та дівчат до 14, 16, 18 років",20210220,20210222,Черкаська обласна федерація шахів,Кушнір О.А. 148062099,МА Городиський О.О. 14136627,Кушнір О.А. 148062099,1к. Фінкель  В.Б. ,"м.Черкаси, вул.Байди Вишневецького, 8 ",UKR,22.02.2021  16:05 ,0,23,9,9,549494,Schweizer System                                            ,2
532,"""Шахова Школа"" Dream TownКваліфікаційний турнір 4 розряду та безрозрядників 20-21.02.2021",20210220,20210221,Шахова Школа,Семенов Д.Г.,Семенов Д.Г.,,"Хріновський О., Мамедов Р., Ритенко В.",,UKR,22.02.2021  14:09 ,0,42,9,9,549618,Schweizer System                                            ,2
533,"Чемпіонат Києва серед дівчат до 16, 18 та 20 років",20210219,20210221,ФШК,Приходько О.П.,МА Товчига О.Г.,,,"Київ, Шахова школа",UKR,22.02.2021  06:16 ,0,28,9,9,549548,Schweizer System                                            ,2
534,"Чемпіонат Києва серед юнаків до 16, 18 та 20 років",20210219,20210221,ФШК,Приходько О.П.,МА Товчига О.Г.,,,"Київ, Шахова школа",UKR,21.02.2021  19:11 ,0,68,9,9,549544,Schweizer System                                            ,2
535,Першість Запорізької області U-16. 2021,20210209,20210213,,,Дружинець О.В.,Нікіфоренко О.В.,,"Токмак, Запорізька обл.",UKR,21.02.2021  18:21 ,0,23,9,9,548701,Schweizer System                                            ,2
536,"Кваліфікаційний турнір 3 розряду 19-21.02.2021""Шахова Школа"" DREAM TOWN-2",20210219,20210221,Шахова Школа,Семенов Д.Г.,Семенов Д.Г.,,"Ритенко В., Приходько О., Хріновський О.",Київ,UKR,21.02.2021  18:06 ,0,17,9,9,549594,Schweizer System                                            ,2
537,Відкрита Першість ЛШК «Зима 2021»,20210219,20210221,Львіський шаховий клуб,Підкович Орест 14121743,Матвійчук Богдан 14198835,,,м. Львів,UKR,21.02.2021  17:47 ,0,36,9,9,548228,Schweizer System                                            ,2
538,"Кваліфікаційний турнір 2 розряду 19-21.02.2021""Шахова Школа"" DREAM TOWN-2",20210219,20210221,Шахова Школа,Семенов Д.Г.,Семенов Д.Г.,,"Ритенко В., Приходько О., Хріновський О.",Київ,UKR,21.02.2021  17:45 ,0,16,9,9,549593,Schweizer System                                            ,2
539,Першість Запорізької області-2021. U-12,20210209,20210213,,,Дружинець О.В.,Нікіфоренко О.В.,,"Токмак, Запорізька обл.",UKR,21.02.2021  17:10 ,0,18,9,9,548700,Schweizer System                                            ,2
540,ЛОШФ. КТ з нормою 2-го розряду - 20-21.02 Львів,20210220,20210221,"ЛОШФ, ЛША",14104490 Фірман Назар,14131684 Мацейко Максим,,,Львів,UKR,21.02.2021  16:59 ,0,26,9,9,549522,Schweizer System                                            ,2
541,Memory Nebesna Sotnya-2021 (rapid),20210221,20210221,"Grekh, Andrey (UKR) /14112418/","Grekh, Andrey (UKR) /14112418/","Kostiv, Mykola (UKR) /14149095/","Matseyko, Maxim (UKR) /14131684/",,Horodok,UKR,21.02.2021  16:49 ,0,133,9,9,548746,Schweizer System                                            ,2
542,In Memory Of A.Shmirin & L.Muchnik(rapid),20210220,20210221,14115336 Goroshchenko Dmitry(UKR),14115336 Goroshchenko Dmitry(UKR),"IA Larkin, Sergii 14175630","IA Khamzin, Ruslan 14118505",14115336 Goroshchenko Dmitry(UKR),Mykolaiv,UKR,21.02.2021  13:34 ,0,31,9,9,549355,Schweizer System                                            ,2
543,ІІ Меморіал Коворданія В.Є.,20210220,20210221,"Управління освіти молоді та спорту, Федерація шахів м. Мукачева",,Федів Олександр,Кейк Микола,"Щербаков Сергій, Вачиля Андрій",Мукачево,UKR,21.02.2021  13:27 ,0,33,9,9,549957,Schweizer System                                            ,2
544,ВЧ І-Ф ДЮСШ №3 Турнір C. 2-ий етап. 150 років Лесі Українки,20210220,20210220,,"14106329 Kobylianskyi, Ihor (UKR) NA","14106329 Kobylianskyi, Ihor (UKR) NA",,,м. Івано-Франківськ,UKR,21.02.2021  12:33 ,0,8,10,10,550073,Schweizer System                                            ,2
545,Школяри А+ 20-21.02.2021,20210220,20210221,"КАН, А+",,Коваленко Максим Вікторович,,,Києв,UKR,21.02.2021  12:26 ,0,15,8,8,549978,Schweizer System                                            ,2
546,Зимовий турнір 20-21.02.2021(садок),20210220,20210221,"КАН, А+",,Коваленко Максим Вікторович,,,Києв,UKR,21.02.2021  11:28 ,0,19,8,8,549980,Schweizer System                                            ,2
547,FSHYU Blitz stage 2 2021 ,20210220,20210220,,,"14109255 Shpilevoy, Eugen  NA",,,Yuzhny,UKR,20.02.2021  16:28 ,0,14,11,11,550007,Schweizer System                                            ,2
548,Чемпіонат Івано-Франківської області серед юнаків та дівчат до 14 років,20210218,20210220,Івано-Франківська обласна федерація шахів,В.І.Палагіцький,"14182610 Palahitska, Nataliia",В.І.Палагіцький,,Ivano-Frankivsk,UKR,20.02.2021  15:16 ,0,12,9,9,549503,Schweizer System                                            ,2
549,Дитячий турнір присвячений пам’яті Героям Небесної сотні,20210220,20210220,"ШК ""Е2-Е4""",Грех А.,Грех А.,Нощенко І.,,Городок,UKR,20.02.2021  14:33 ,0,62,9,9,549662,Schweizer System                                            ,2
550,Championship of Odessa region (women),20210217,20210220,OSSK,,"Yasko, Anatolii, UKR 34132929",,,Odessa,UKR,20.02.2021  12:14 ,0,11,7,7,549795,Schweizer System                                            ,2
551,Чемпіонат Донецької області серед юніорів до 20 років,20210210,20210214,,,Мартинков О.В.,,,Краматорськ,UKR,18.02.2021  19:15 ,0,20,9,9,547459,Schweizer System                                            ,2
552,"Шаховий турнір пам""яті Небесної Сотні",20210217,20210217,"Шаховий Гурток ""Юний Ферзь"" СЗОШ №55",Василь Корпан,Олександр Прохоров,Василь Корпан,Олег Анат. Терлецький,Львів,UKR,17.02.2021  16:15 ,0,29,5,5,549614,Schweizer System                                            ,2
553,XV Жовква Турнір афганців-2021(В),20210214,20210214,Жовківська РО Української спілки ветеранів Афганістану воїнів-інтернаціоналістів,Лесик П.С.,Лещишак І.С.,,Гусак М.,Жовква,UKR,15.02.2021  22:36 ,0,20,9,9,549274,Schweizer System                                            ,2
554,Рейтинговий турнір (м. Миколаїв),20210207,20210214,,мс Горощенко Д.В.,Хамзін С.Р.,,,м. Миколаїв,UKR,15.02.2021  20:04 ,0,19,9,9,548360,Schweizer System                                            ,2
555,"Championship of Odessa region under 16,18,20",20210129,20210214,Chess Federation of Odessa region,,"Bogdanov, Valentin (UKR) IA",,,Odessa,UKR,14.02.2021  20:31 ,0,16,9,9,547948,Schweizer System                                            ,2
556,Vents Konsalt rapid – 14.02.2021,20210214,20210214,,"14136627 Horodyskyi, Oleh (UKR) 					","14136627 Horodyskyi, Oleh (UKR) IA, FI",,,Cherkasy				,UKR,14.02.2021  19:33 ,0,20,9,9,547963,Schweizer System                                            ,2
557,"КВАЛІФІКАЦІЙНИЙ ТУРНІР з нормою 1 розряду, (12-14.02.2021),Київ.",20210212,20210214,ГО Шаховий центр,Олег Коваль ,Олег Коваль /14140870/ ,,Григорій Онопрієнко /14160030/ суддя І категорії,Київ,UKR,14.02.2021  18:46 ,0,16,9,9,548962,Schweizer System                                            ,2
558,ЛОШФ КТ з нормою 4-го розряду - 14.02 Львів,20210214,20210214,"ЛОШФ, ЛША",14131684 Мацейко Максим,14131447 Савчук Юлія,,,Львів,UKR,14.02.2021  18:08 ,0,27,9,9,548916,Schweizer System                                            ,2
559,ЛОШФ КТ з нормою 2-го розряду - 13-14.02 Львів,20210213,20210214,"ЛОШФ, ЛША",14131684 Мацейко Максим,34125035 Красногор Юрій,,,Львів,UKR,14.02.2021  16:30 ,0,22,9,9,549014,Schweizer System                                            ,2
560,"""
Chess School - 202 (rapid - 2)""",20210214,20210214,Kyiv City Chess federation,"14104482, Semenov, Dmitri (UKR)","14128748, Tovchyga, Oleg (UKR) IA  ",,,Kyiv,UKR,14.02.2021  16:24 ,0,30,7,7,548944,Schweizer System                                            ,2
561,Chess dream(Ivano-Frankivsk)_Rapid,20210214,20210214,Nataliia Palahitska,Nataliia Palahitska,"14182610 Palahitska, Nataliia",,,Ivano-Frankivsk,UKR,14.02.2021  16:19 ,0,17,9,9,549316,Schweizer System                                            ,2
562,Відкритий чемпіонат Львівської області серед юнаків та дівчат до 16 років,20210212,20210214,"ЛОШФ, ЛОДА",14104490 Фірман Назар,14151804 Ільницький Іван,14131684 Мацейко Максим,,Львів,UKR,14.02.2021  16:02 ,0,65,9,9,548092,Schweizer System                                            ,2
563,Чемпіонат Вінницької області серед юнаків до 10 років,20210212,20210214,Боднар Микола,Вусатюк Володимир,Вусатюк Володимир,,,Вінниця,UKR,14.02.2021  13:37 ,0,17,9,9,548823,Schweizer System                                            ,2
564,"Особисто-командний чемпіонат Дн-вської обл. серед юнаків 2001 р.н. і мол.,2004-2005, 2006-2007 р.н.",20210206,20210214,Дніпропетровська обласна шахова федерація,Марков О.М.,Макаревич В.І.,Варицький І.Є.,"Макаревич О.Л., Бородавкін С.І., Боронін А.І.",Дніпро,UKR,14.02.2021  12:47 ,0,36,9,9,548457,Schweizer System                                            ,2
565,"КВАЛІФІКАЦІЙНИЙ ТУРНІР з нормою 3 розряду, (13-14.02.2021),Київ.",20210213,20210214,ГО Шаховий центр,Олег Коваль ,Олег Коваль /14140870/ ,,Григорій Онопрієнко /14160030/ суддя І категорії,Київ,UKR,14.02.2021  12:42 ,0,11,9,9,548960,Schweizer System                                            ,2
566,Чемпіонат Вінницької області серед юнаків до 8 років,20210212,20210214,Боднар Микола,Вусатюк Володимир,Вусатюк Володимир,,,Вінниця,UKR,14.02.2021  12:40 ,0,12,9,9,548819,Schweizer System                                            ,2
567,ЛОШФ КТ з нормою 3-го розряду,20210214,20210214,ЛОШФ,Назар Фірман,Микола Костів,,,Львів,UKR,14.02.2021  12:37 ,0,27,9,9,548999,Schweizer System                                            ,2
568,"КВАЛІФІКАЦІЙНИЙ ТУРНІР з нормою 1 юнацького розряду (13-14.02.2021),Київ. ",20210213,20210214,ГО Шаховий центр,Олег Коваль ,Олег Коваль /14140870/ ,,Григорій Онопрієнко /14160030/ суддя І категорії,Київ,UKR,14.02.2021  11:59 ,0,22,9,9,548959,Schweizer System                                            ,2
569,"ШК ""Гамбіт"" кваліфікаційний турнір з нормою 2-го розряду",20210206,20210214,"ШК ""Гамбіт"" (п-т Оболонський, 16-Д)",,Костак Т.І.,,,,UKR,14.02.2021  11:37 ,0,16,9,9,548399,Schweizer System                                            ,2
570,"Чемпіонат Дніпропетровської області серед дівчат 2001-2003,2004-2005,2006-2007р.",20210206,20210214,Дніпропетровська обласна щахова федерація,,Тимошенко І.В.,Максимов Д.І.,,Дніпро,UKR,14.02.2021  11:17 ,0,14,9,9,547338,Schweizer System                                            ,2
571,"ШК ""Гамбіт"" кваліфікаційний турнір з нормою 3-го розряду",20210206,20210214,"ШК ""Гамбіт"" (п-т Оболонський, 16-Д)",,Костак Т.І.,,,,UKR,14.02.2021  11:08 ,0,10,9,9,548398,Schweizer System                                            ,2
572,"""Chess School - 2021 (blitz - 2)""",20210213,20210213,Kyiv City Chess Federation,"14104482, Semenov, Dmitri (UKR)","14128748, Tovchyga, Oleg (UKR) IA  ",,,Kyiv,UKR,13.02.2021  18:19 ,0,40,11,11,548942,Schweizer System                                            ,2
573,IvFrank region chess championship U14_Blitz,20210213,20210213,Івано-Франківська обласна федерація шахів,Nataliia Palahitska,"14182610 Palahitska, Nataliia",В.І.Палагіцький,,Ivano-Frankivsk,UKR,13.02.2021  16:29 ,0,17,9,9,549228,Schweizer System                                            ,2
574,Чемпіонат Закарпатської області серед дітей до 8 та 10 років,20210213,20210213,"Федерація шахів Закарпатської обл, Управління молоді та спорту Закарпатської ОДА",,Кейк Микола,Федів Олександр,"Вачиля Андрій, Щербаков Сергій",Мукачево,UKR,13.02.2021  14:25 ,0,63,7,7,549199,Schweizer System                                            ,2
575,IvFrank region chess championship U14_Rapid,20210213,20210213,Івано-Франківська обласна федерація шахів,Nataliia Palahitska,"14182610 Palahitska, Nataliia",В.І.Палагіцький,,Ivano-Frankivsk,UKR,13.02.2021  13:44 ,0,19,9,9,549063,Schweizer System                                            ,2
576,78-й Фінал чемпіонату Миколаївської області (Кубок Президента ФШМО),20210206,20210213,Федерація шахів Миколаївської області,мс Горощенко Д.В.,"IA Khamzin, Ruslan ","IA Larkin, Sergii 14175630",,м. Миколаїв,UKR,13.02.2021  12:58 ,0,18,9,9,548514,Schweizer System                                            ,2
577,Турнір памя'ті О.В.Синіціна   Швидкі шахи  Турнір D   ,20210129,20210130,ДЮСШ №9,,Тимошенко І.В.,Максимов Д.І.,,,UKR,11.02.2021  10:40 ,0,23,11,11,543259,Schweizer System                                            ,1
578,Турнір  пам'яті  О. В. Синіціна     Турнір В,20201229,20210107,ДЮСШ №9,Тимошенко І.В.,Тимошенко І.В.,Максимов Д.І.,,Дніпро,UKR,10.02.2021  20:06 ,0,20,9,9,544328,Schweizer System                                            ,1
579,Чемпіонат Вінниці серед чоловіків та жінок ,20210203,20210207,МДЮСШ №6,Боднар Микола,Боднар Микола,Вусатюк Володимир,Дорофєєв Станіслав,Вінниця,UKR,09.02.2021  12:00 ,0,32,9,9,547402,Schweizer System                                            ,2
580,"""Шахова Школа"" Кваліфікаційний турнір 2 розряду 05-07.02.2021",20210205,20210207,Шахова Школа,Семенов Д.Г.,МА Товчига О.Г.,,"Ритенко В., МА Приходько О., Хріновський О.",Київ,UKR,07.02.2021  18:44 ,0,17,9,9,548199,Schweizer System                                            ,2
581,Major League of rapid chess - Lviv regional chess federation,20210207,20210207,Lviv regional chess federation,"Firman, Nazar 14104490","Matseyko, Maxim 14131684","Kostiv, Mykola 14149095",,Lviv,UKR,07.02.2021  18:13 ,0,27,9,9,548236,Schweizer System                                            ,2
